# source: synthetic-fallback (see DECISIONS.md D1; realistic Berlin 2011-era aggregates)
# Ortsteile age-bracket shares (sex-pooled).
# retrieved_at: 2026-04-23 20:01:02
ortsteil_id,bezirk_id,age_bracket,age_mid,share
z96_027,bzk_08,65+,70,0.1
z96_028,bzk_08,25-34,30,0.22
z96_028,bzk_08,35-44,40,0.26
z96_028,bzk_08,45-54,50,0.25
z96_028,bzk_08,55-64,60,0.17
z96_028,bzk_08,65+,70,0.1
z96_029,bzk_09,25-34,30,0.22
z96_029,bzk_09,35-44,40,0.26
z96_029,bzk_09,45-54,50,0.25
z96_029,bzk_09,55-64,60,0.17
z96_029,bzk_09,65+,70,0.1
z96_030,bzk_09,25-34,30,0.22
z96_030,bzk_09,35-44,40,0.26
z96_030,bzk_09,45-54,50,0.25
z96_030,bzk_09,55-64,60,0.17
z96_030,bzk_09,65+,70,0.1
z96_031,bzk_10,25-34,30,0.22
z96_031,bzk_10,35-44,40,0.26
z96_031,bzk_10,45-54,50,0.25
z96_031,bzk_10,55-64,60,0.17
z96_031,bzk_10,65+,70,0.1
z96_032,bzk_10,25-34,30,0.22
z96_032,bzk_10,35-44,40,0.26
z96_032,bzk_10,45-54,50,0.25
z96_032,bzk_10,55-64,60,0.17
z96_032,bzk_10,65+,70,0.1
z96_033,bzk_10,25-34,30,0.22
z96_033,bzk_10,35-44,40,0.26
z96_033,bzk_10,45-54,50,0.25
z96_033,bzk_10,55-64,60,0.17
z96_033,bzk_10,65+,70,0.1
z96_034,bzk_10,25-34,30,0.22
z96_034,bzk_10,35-44,40,0.26
z96_034,bzk_10,45-54,50,0.25
z96_034,bzk_10,55-64,60,0.17
z96_034,bzk_10,65+,70,0.1
z96_035,bzk_10,25-34,30,0.22
z96_035,bzk_10,35-44,40,0.26
z96_035,bzk_10,45-54,50,0.25
z96_035,bzk_10,55-64,60,0.17
z96_035,bzk_10,65+,70,0.1
z96_036,bzk_10,25-34,30,0.22
z96_036,bzk_10,35-44,40,0.26
z96_036,bzk_10,45-54,50,0.25
z96_036,bzk_10,55-64,60,0.17
z96_036,bzk_10,65+,70,0.1
z96_037,bzk_10,25-34,30,0.22
z96_037,bzk_10,35-44,40,0.26
z96_037,bzk_10,45-54,50,0.25
z96_037,bzk_10,55-64,60,0.17
z96_037,bzk_10,65+,70,0.1
z96_038,bzk_11,25-34,30,0.22
z96_038,bzk_11,35-44,40,0.26
z96_038,bzk_11,45-54,50,0.25
z96_038,bzk_11,55-64,60,0.17
z96_038,bzk_11,65+,70,0.1
z96_039,bzk_11,25-34,30,0.22
z96_039,bzk_11,35-44,40,0.26
z96_039,bzk_11,45-54,50,0.25
z96_039,bzk_11,55-64,60,0.17
z96_039,bzk_11,65+,70,0.1
z96_040,bzk_11,25-34,30,0.22
z96_040,bzk_11,35-44,40,0.26
z96_040,bzk_11,45-54,50,0.25
z96_040,bzk_11,55-64,60,0.17
z96_040,bzk_11,65+,70,0.1
z96_041,bzk_11,25-34,30,0.22
z96_041,bzk_11,35-44,40,0.26
z96_041,bzk_11,45-54,50,0.25
z96_041,bzk_11,55-64,60,0.17
z96_041,bzk_11,65+,70,0.1
z96_042,bzk_12,25-34,30,0.22
z96_042,bzk_12,35-44,40,0.26
z96_042,bzk_12,45-54,50,0.25
z96_042,bzk_12,55-64,60,0.17
z96_042,bzk_12,65+,70,0.1
z96_043,bzk_12,25-34,30,0.22
z96_043,bzk_12,35-44,40,0.26
z96_043,bzk_12,45-54,50,0.25
z96_043,bzk_12,55-64,60,0.17
z96_043,bzk_12,65+,70,0.1
z96_044,bzk_13,25-34,30,0.22
z96_044,bzk_13,35-44,40,0.26
z96_044,bzk_13,45-54,50,0.25
z96_044,bzk_13,55-64,60,0.17
z96_044,bzk_13,65+,70,0.1
z96_045,bzk_13,25-34,30,0.22
z96_045,bzk_13,35-44,40,0.26
z96_045,bzk_13,45-54,50,0.25
z96_045,bzk_13,55-64,60,0.17
z96_045,bzk_13,65+,70,0.1
z96_046,bzk_13,25-34,30,0.22
z96_046,bzk_13,35-44,40,0.26
z96_046,bzk_13,45-54,50,0.25
z96_046,bzk_13,55-64,60,0.17
z96_046,bzk_13,65+,70,0.1
z96_047,bzk_13,25-34,30,0.22
z96_047,bzk_13,35-44,40,0.26
z96_047,bzk_13,45-54,50,0.25
z96_047,bzk_13,55-64,60,0.17
z96_047,bzk_13,65+,70,0.1
z96_048,bzk_13,25-34,30,0.22
z96_048,bzk_13,35-44,40,0.26
z96_048,bzk_13,45-54,50,0.25
z96_048,bzk_13,55-64,60,0.17
z96_048,bzk_13,65+,70,0.1
z96_049,bzk_13,25-34,30,0.22
z96_049,bzk_13,35-44,40,0.26
z96_049,bzk_13,45-54,50,0.25
z96_049,bzk_13,55-64,60,0.17
z96_049,bzk_13,65+,70,0.1
z96_050,bzk_13,25-34,30,0.22
z96_050,bzk_13,35-44,40,0.26
z96_050,bzk_13,45-54,50,0.25
z96_050,bzk_13,55-64,60,0.17
z96_050,bzk_13,65+,70,0.1
z96_051,bzk_13,25-34,30,0.22
z96_051,bzk_13,35-44,40,0.26
z96_051,bzk_13,45-54,50,0.25
z96_051,bzk_13,55-64,60,0.17
z96_051,bzk_13,65+,70,0.1
z96_052,bzk_13,25-34,30,0.22
z96_052,bzk_13,35-44,40,0.26
z96_052,bzk_13,45-54,50,0.25
z96_052,bzk_13,55-64,60,0.17
z96_052,bzk_13,65+,70,0.1
z96_053,bzk_14,25-34,30,0.22
z96_053,bzk_14,35-44,40,0.26
z96_053,bzk_14,45-54,50,0.25
z96_053,bzk_14,55-64,60,0.17
z96_053,bzk_14,65+,70,0.1
z96_054,bzk_14,25-34,30,0.22
z96_054,bzk_14,35-44,40,0.26
z96_054,bzk_14,45-54,50,0.25
z96_054,bzk_14,55-64,60,0.17
z96_054,bzk_14,65+,70,0.1
z96_055,bzk_14,25-34,30,0.22
z96_055,bzk_14,35-44,40,0.26
z96_055,bzk_14,45-54,50,0.25
z96_055,bzk_14,55-64,60,0.17
z96_055,bzk_14,65+,70,0.1
z96_056,bzk_15,25-34,30,0.22
z96_056,bzk_15,35-44,40,0.26
z96_056,bzk_15,45-54,50,0.25
z96_056,bzk_15,55-64,60,0.17
z96_056,bzk_15,65+,70,0.1
z96_057,bzk_15,25-34,30,0.22
z96_057,bzk_15,35-44,40,0.26
z96_057,bzk_15,45-54,50,0.25
z96_057,bzk_15,55-64,60,0.17
z96_057,bzk_15,65+,70,0.1
z96_058,bzk_15,25-34,30,0.22
z96_058,bzk_15,35-44,40,0.26
z96_058,bzk_15,45-54,50,0.25
z96_058,bzk_15,55-64,60,0.17
z96_058,bzk_15,65+,70,0.1
z96_059,bzk_15,25-34,30,0.22
z96_059,bzk_15,35-44,40,0.26
z96_059,bzk_15,45-54,50,0.25
z96_059,bzk_15,55-64,60,0.17
z96_059,bzk_15,65+,70,0.1
z96_060,bzk_15,25-34,30,0.22
z96_060,bzk_15,35-44,40,0.26
z96_060,bzk_15,45-54,50,0.25
z96_060,bzk_15,55-64,60,0.17
z96_060,bzk_15,65+,70,0.1
z96_061,bzk_15,25-34,30,0.22
z96_061,bzk_15,35-44,40,0.26
z96_061,bzk_15,45-54,50,0.25
z96_061,bzk_15,55-64,60,0.17
z96_061,bzk_15,65+,70,0.1
z96_062,bzk_15,25-34,30,0.22
z96_062,bzk_15,35-44,40,0.26
z96_062,bzk_15,45-54,50,0.25
z96_062,bzk_15,55-64,60,0.17
z96_062,bzk_15,65+,70,0.1
z96_063,bzk_16,25-34,30,0.22
z96_063,bzk_16,35-44,40,0.26
z96_063,bzk_16,45-54,50,0.25
z96_063,bzk_16,55-64,60,0.17
z96_063,bzk_16,65+,70,0.1
z96_064,bzk_16,25-34,30,0.22
z96_064,bzk_16,35-44,40,0.26
z96_064,bzk_16,45-54,50,0.25
z96_064,bzk_16,55-64,60,0.17
z96_064,bzk_16,65+,70,0.1
z96_065,bzk_16,25-34,30,0.22
z96_065,bzk_16,35-44,40,0.26
z96_065,bzk_16,45-54,50,0.25
z96_065,bzk_16,55-64,60,0.17
z96_065,bzk_16,65+,70,0.1
z96_066,bzk_16,25-34,30,0.22
z96_066,bzk_16,35-44,40,0.26
z96_066,bzk_16,45-54,50,0.25
z96_066,bzk_16,55-64,60,0.17
z96_066,bzk_16,65+,70,0.1
z96_067,bzk_16,25-34,30,0.22
z96_067,bzk_16,35-44,40,0.26
z96_067,bzk_16,45-54,50,0.25
z96_067,bzk_16,55-64,60,0.17
z96_067,bzk_16,65+,70,0.1
z96_068,bzk_16,25-34,30,0.22
z96_068,bzk_16,35-44,40,0.26
z96_068,bzk_16,45-54,50,0.25
z96_068,bzk_16,55-64,60,0.17
z96_068,bzk_16,65+,70,0.1
z96_069,bzk_17,25-34,30,0.22
z96_069,bzk_17,35-44,40,0.26
z96_069,bzk_17,45-54,50,0.25
z96_069,bzk_17,55-64,60,0.17
z96_069,bzk_17,65+,70,0.1
z96_070,bzk_17,25-34,30,0.22
z96_070,bzk_17,35-44,40,0.26
z96_070,bzk_17,45-54,50,0.25
z96_070,bzk_17,55-64,60,0.17
z96_070,bzk_17,65+,70,0.1
z96_071,bzk_17,25-34,30,0.22
z96_071,bzk_17,35-44,40,0.26
z96_071,bzk_17,45-54,50,0.25
z96_071,bzk_17,55-64,60,0.17
z96_071,bzk_17,65+,70,0.1
z96_072,bzk_17,25-34,30,0.22
z96_072,bzk_17,35-44,40,0.26
z96_072,bzk_17,45-54,50,0.25
z96_072,bzk_17,55-64,60,0.17
z96_072,bzk_17,65+,70,0.1
z96_073,bzk_17,25-34,30,0.22
z96_073,bzk_17,35-44,40,0.26
z96_073,bzk_17,45-54,50,0.25
z96_073,bzk_17,55-64,60,0.17
z96_073,bzk_17,65+,70,0.1
z96_074,bzk_17,25-34,30,0.22
z96_074,bzk_17,35-44,40,0.26
z96_074,bzk_17,45-54,50,0.25
z96_074,bzk_17,55-64,60,0.17
z96_074,bzk_17,65+,70,0.1
z96_075,bzk_18,25-34,30,0.22
z96_075,bzk_18,35-44,40,0.26
z96_075,bzk_18,45-54,50,0.25
z96_075,bzk_18,55-64,60,0.17
z96_075,bzk_18,65+,70,0.1
z96_076,bzk_19,25-34,30,0.22
z96_076,bzk_19,35-44,40,0.26
z96_076,bzk_19,45-54,50,0.25
z96_076,bzk_19,55-64,60,0.17
z96_076,bzk_19,65+,70,0.1
z96_077,bzk_19,25-34,30,0.22
z96_077,bzk_19,35-44,40,0.26
z96_077,bzk_19,45-54,50,0.25
z96_077,bzk_19,55-64,60,0.17
z96_077,bzk_19,65+,70,0.1
z96_078,bzk_19,25-34,30,0.22
z96_078,bzk_19,35-44,40,0.26
z96_078,bzk_19,45-54,50,0.25
z96_078,bzk_19,55-64,60,0.17
z96_078,bzk_19,65+,70,0.1
z96_079,bzk_19,25-34,30,0.22
z96_079,bzk_19,35-44,40,0.26
z96_079,bzk_19,45-54,50,0.25
z96_079,bzk_19,55-64,60,0.17
z96_079,bzk_19,65+,70,0.1
z96_080,bzk_19,25-34,30,0.22
z96_080,bzk_19,35-44,40,0.26
z96_080,bzk_19,45-54,50,0.25
z96_080,bzk_19,55-64,60,0.17
z96_080,bzk_19,65+,70,0.1
z96_081,bzk_20,25-34,30,0.22
z96_081,bzk_20,35-44,40,0.26
z96_081,bzk_20,45-54,50,0.25
z96_081,bzk_20,55-64,60,0.17
z96_081,bzk_20,65+,70,0.1
z96_082,bzk_20,25-34,30,0.22
z96_082,bzk_20,35-44,40,0.26
z96_082,bzk_20,45-54,50,0.25
z96_082,bzk_20,55-64,60,0.17
z96_082,bzk_20,65+,70,0.1
z96_083,bzk_21,25-34,30,0.22
z96_083,bzk_21,35-44,40,0.26
z96_083,bzk_21,45-54,50,0.25
z96_083,bzk_21,55-64,60,0.17
z96_083,bzk_21,65+,70,0.1
z96_084,bzk_21,25-34,30,0.22
z96_084,bzk_21,35-44,40,0.26
z96_084,bzk_21,45-54,50,0.25
z96_084,bzk_21,55-64,60,0.17
z96_084,bzk_21,65+,70,0.1
z96_085,bzk_21,25-34,30,0.22
z96_085,bzk_21,35-44,40,0.26
z96_085,bzk_21,45-54,50,0.25
z96_085,bzk_21,55-64,60,0.17
z96_085,bzk_21,65+,70,0.1
z96_086,bzk_21,25-34,30,0.22
z96_086,bzk_21,35-44,40,0.26
z96_086,bzk_21,45-54,50,0.25
z96_086,bzk_21,55-64,60,0.17
z96_086,bzk_21,65+,70,0.1
z96_087,bzk_22,25-34,30,0.22
z96_087,bzk_22,35-44,40,0.26
z96_087,bzk_22,45-54,50,0.25
z96_087,bzk_22,55-64,60,0.17
z96_087,bzk_22,65+,70,0.1
z96_088,bzk_22,25-34,30,0.22
z96_088,bzk_22,35-44,40,0.26
z96_088,bzk_22,45-54,50,0.25
z96_088,bzk_22,55-64,60,0.17
z96_088,bzk_22,65+,70,0.1
z96_089,bzk_22,25-34,30,0.22
z96_089,bzk_22,35-44,40,0.26
z96_089,bzk_22,45-54,50,0.25
z96_089,bzk_22,55-64,60,0.17
z96_089,bzk_22,65+,70,0.1
z96_090,bzk_22,25-34,30,0.22
z96_090,bzk_22,35-44,40,0.26
z96_090,bzk_22,45-54,50,0.25
z96_090,bzk_22,55-64,60,0.17
z96_090,bzk_22,65+,70,0.1
z96_091,bzk_23,25-34,30,0.22
z96_091,bzk_23,35-44,40,0.26
z96_091,bzk_23,45-54,50,0.25
z96_091,bzk_23,55-64,60,0.17
z96_091,bzk_23,65+,70,0.1
z96_092,bzk_23,25-34,30,0.22
z96_092,bzk_23,35-44,40,0.26
z96_092,bzk_23,45-54,50,0.25
z96_092,bzk_23,55-64,60,0.17
z96_092,bzk_23,65+,70,0.1
z96_093,bzk_23,25-34,30,0.22
z96_093,bzk_23,35-44,40,0.26
z96_093,bzk_23,45-54,50,0.25
z96_093,bzk_23,55-64,60,0.17
z96_093,bzk_23,65+,70,0.1
z96_094,bzk_23,25-34,30,0.22
z96_094,bzk_23,35-44,40,0.26
z96_094,bzk_23,45-54,50,0.25
z96_094,bzk_23,55-64,60,0.17
z96_094,bzk_23,65+,70,0.1
z96_095,bzk_23,25-34,30,0.22
z96_095,bzk_23,35-44,40,0.26
z96_095,bzk_23,45-54,50,0.25
z96_095,bzk_23,55-64,60,0.17
z96_095,bzk_23,65+,70,0.1
