# source: synthetic-fallback (see DECISIONS.md D1; realistic Berlin 2011-era aggregates)
# Ortsteile ISCED education shares (low/mid/high).
# retrieved_at: 2026-04-23 20:01:02
ortsteil_id,bezirk_id,education_bracket,share
z96_079,bzk_19,mid,0.55
z96_079,bzk_19,high,0.25
z96_080,bzk_19,low,0.2
z96_080,bzk_19,mid,0.55
z96_080,bzk_19,high,0.25
z96_081,bzk_20,low,0.2105
z96_081,bzk_20,mid,0.5514
z96_081,bzk_20,high,0.2381
z96_082,bzk_20,low,0.2105
z96_082,bzk_20,mid,0.5514
z96_082,bzk_20,high,0.2381
z96_083,bzk_21,low,0.2105
z96_083,bzk_21,mid,0.5514
z96_083,bzk_21,high,0.2381
z96_084,bzk_21,low,0.2105
z96_084,bzk_21,mid,0.5514
z96_084,bzk_21,high,0.2381
z96_085,bzk_21,low,0.2105
z96_085,bzk_21,mid,0.5514
z96_085,bzk_21,high,0.2381
z96_086,bzk_21,low,0.2105
z96_086,bzk_21,mid,0.5514
z96_086,bzk_21,high,0.2381
z96_087,bzk_22,low,0.2105
z96_087,bzk_22,mid,0.5514
z96_087,bzk_22,high,0.2381
z96_088,bzk_22,low,0.2105
z96_088,bzk_22,mid,0.5514
z96_088,bzk_22,high,0.2381
z96_089,bzk_22,low,0.2105
z96_089,bzk_22,mid,0.5514
z96_089,bzk_22,high,0.2381
z96_090,bzk_22,low,0.2105
z96_090,bzk_22,mid,0.5514
z96_090,bzk_22,high,0.2381
z96_091,bzk_23,low,0.2
z96_091,bzk_23,mid,0.55
z96_091,bzk_23,high,0.25
z96_092,bzk_23,low,0.2
z96_092,bzk_23,mid,0.55
z96_092,bzk_23,high,0.25
z96_093,bzk_23,low,0.2
z96_093,bzk_23,mid,0.55
z96_093,bzk_23,high,0.25
z96_094,bzk_23,low,0.2
z96_094,bzk_23,mid,0.55
z96_094,bzk_23,high,0.25
z96_095,bzk_23,low,0.2
z96_095,bzk_23,mid,0.55
z96_095,bzk_23,high,0.25
