# source: synthetic-fallback (see DECISIONS.md D1; realistic Berlin 2011-era aggregates)
# Ortsteile housing tenure (owner/renter).
# retrieved_at: 2026-04-23 20:01:02
ortsteil_id,bezirk_id,tenure_bracket,share
z96_075,bzk_18,renter,0.8035
z96_076,bzk_19,owner,0.1938
z96_076,bzk_19,renter,0.8062
z96_077,bzk_19,owner,0.192
z96_077,bzk_19,renter,0.808
z96_078,bzk_19,owner,0.1792
z96_078,bzk_19,renter,0.8208
z96_079,bzk_19,owner,0.1841
z96_079,bzk_19,renter,0.8159
z96_080,bzk_19,owner,0.198
z96_080,bzk_19,renter,0.802
z96_081,bzk_20,owner,0.144
z96_081,bzk_20,renter,0.856
z96_082,bzk_20,owner,0.1474
z96_082,bzk_20,renter,0.8526
z96_083,bzk_21,owner,0.1311
z96_083,bzk_21,renter,0.8689
z96_084,bzk_21,owner,0.1306
z96_084,bzk_21,renter,0.8694
z96_085,bzk_21,owner,0.1372
z96_085,bzk_21,renter,0.8628
z96_086,bzk_21,owner,0.1297
z96_086,bzk_21,renter,0.8703
z96_087,bzk_22,owner,0.1544
z96_087,bzk_22,renter,0.8456
z96_088,bzk_22,owner,0.1476
z96_088,bzk_22,renter,0.8524
z96_089,bzk_22,owner,0.1548
z96_089,bzk_22,renter,0.8452
z96_090,bzk_22,owner,0.1505
z96_090,bzk_22,renter,0.8495
z96_091,bzk_23,owner,0.1888
z96_091,bzk_23,renter,0.8112
z96_092,bzk_23,owner,0.1852
z96_092,bzk_23,renter,0.8148
z96_093,bzk_23,owner,0.1928
z96_093,bzk_23,renter,0.8072
z96_094,bzk_23,owner,0.1909
z96_094,bzk_23,renter,0.8091
z96_095,bzk_23,owner,0.1788
z96_095,bzk_23,renter,0.8212
